transcript_id,read_coverage,transcript_length
ENST00000000233.10,0.959302325581395,1032
ENST00000000412.8,0.978367346938775,2450
ENST00000000442.11,0.954045734388742,2274
ENST00000001008.6,0.574831763122476,3715
ENST00000001146.7,0.933494293239684,4556
ENST00000002125.9,0.654304029304029,2184
ENST00000002165.11,0.691823899371069,2385
ENST00000002501.11,0.985894941634241,2056
ENST00000002829.8,0.750485167729415,3607
ENST00000003100.13,0.97797147385103,3155
ENST00000003302.8,0.976440351252945,4669
ENST00000003583.12,0.972877358490566,2544
ENST00000003912.7,0.305327494982667,5481
ENST00000004531.14,0.401455026455027,7560
ENST00000005178.6,0.974590391557901,3601
ENST00000005257.7,0.726408324363115,2787
ENST00000005259.9,0.627619374785297,2911
ENST00000005260.9,0.553909465020576,3645
ENST00000005286.8,0.526149425287356,3480
ENST00000005340.10,0.926062228169957,2989
ENST00000005374.10,0.937015503875969,1032
ENST00000005386.8,0.51509564415764,4339
ENST00000005995.8,0.949129239230064,1091
ENST00000006015.4,0.845260397152492,2669
ENST00000006251.11,0.993491794001132,1767
ENST00000006275.8,0.883229813664596,805
ENST00000006658.11,0.992406985573273,2634
ENST00000006777.11,0.979662986635677,1721
ENST00000007264.7,0.967041015625,2048
ENST00000007390.3,0.927272727272727,1210
ENST00000007516.8,0.911278195488722,665
ENST00000007699.10,0.512091898428053,1654
ENST00000007708.7,0.404362416107383,2384
ENST00000007969.12,0.925696594427245,1615
ENST00000008527.10,0.96551724137931,2987
ENST00000009041.12,0.897240164415737,1703
ENST00000009180.10,0.960816326530612,1225
ENST00000009589.8,0.922928709055877,519
ENST00000010132.6,0.443478260869565,1840
ENST00000010404.6,0.807436182019978,901
ENST00000011473.6,0.583450869769629,2127
ENST00000011619.6,0.94887706855792,3384
ENST00000011684.11,0.884762235334953,2881
ENST00000011691.6,0.258806080830552,2697
ENST00000011700.10,0.323365849211414,10969
ENST00000011898.10,0.352614530310042,4322
ENST00000012049.10,0.958117647058824,2125
ENST00000012443.9,0.926133707339878,2139
ENST00000013070.11,0.979536348025186,3494
ENST00000013125.9,0.814882866329812,4354
ENST00000013807.9,0.76056338028169,1278
ENST00000014914.6,0.343056821634761,6582
ENST00000014930.9,0.955133735979293,1159
ENST00000014935.7,0.803921568627451,2652
ENST00000016171.6,0.450497017892644,5030
ENST00000016946.8,0.746560264171712,7268
ENST00000017003.7,0.651554034787568,3507
ENST00000019019.6,0.687814702920443,1986
ENST00000019317.8,0.40018315018315,4368
ENST00000020945.4,0.893807339449541,2180
ENST00000022615.9,0.93935119887165,1418
ENST00000023939.8,0.712034383954155,1745
ENST00000025008.10,0.532097649186257,6636
ENST00000025301.4,0.384669692385275,9915
ENST00000026218.9,0.539002108222066,2846
ENST00000028008.9,0.983196721311475,1220
ENST00000029410.10,0.945229681978799,1698
ENST00000031146.8,0.525808936825886,5192
ENST00000033079.7,0.870905763952424,5465
ENST00000034275.12,0.99205448354143,1762
ENST00000035307.7,0.971922787666082,3989
ENST00000037243.7,0.948665297741273,974
ENST00000037869.8,0.955767077267637,1786
ENST00000038176.8,0.946838276440963,3574
ENST00000039007.5,0.797634691195795,1522
ENST00000039989.9,0.374442959001783,4488
ENST00000040663.8,0.574575204531152,3178
ENST00000040738.10,0.284612472792656,10567
ENST00000040877.2,0.813100268920476,5206
ENST00000042381.9,0.987781036168133,4092
ENST00000043402.8,0.986368312757202,1944
ENST00000044462.12,0.259479214253084,4378
ENST00000046640.9,0.615245228316018,4139
ENST00000052569.10,0.749782135076253,4590
ENST00000053468.4,0.87452380952381,2100
ENST00000053867.8,0.983098591549296,2130
ENST00000054650.9,0.883908890521675,1361
ENST00000054666.11,0.958448117539027,2178
ENST00000054950.4,0.890671169269734,2369
ENST00000055077.8,0.882492581602374,1685
ENST00000055335.11,0.334196146102962,3477
ENST00000056217.10,0.44035023713973,5482
ENST00000056233.4,0.747058823529412,3740
ENST00000060969.6,0.151892974153622,5494
ENST00000061240.7,0.525648059251131,7291
ENST00000064778.8,0.128152412280702,7296
ENST00000064780.7,0.725455614344503,3402
ENST00000066544.8,0.520240137221269,5830
ENST00000070846.11,0.488076129328136,4361
ENST00000072644.7,0.890719384953322,1821
ENST00000072869.9,0.983877233877234,2574
ENST00000075120.12,0.687744969950353,3827
ENST00000075430.11,0.291548897682306,3538
ENST00000075503.8,0.974377481053771,2771
ENST00000078429.9,0.950238663484487,4190
ENST00000080059.12,0.67790173273202,4213
ENST00000081029.8,0.959267359212685,1829
ENST00000082468.11,0.0828006972690296,3442
ENST00000083182.8,0.599584103512015,6492
ENST00000084795.9,0.936274509803922,612
ENST00000084798.9,0.829737609329446,1715
ENST00000085068.7,0.955436720142603,1122
ENST00000085079.11,0.747133757961783,2355
ENST00000155674.9,0.730259365994236,1735
ENST00000155840.12,0.948821339950372,3224
ENST00000156084.8,0.61021897810219,2740
ENST00000156109.7,0.984921592279855,1658
ENST00000156471.10,0.487964989059081,9597
ENST00000156825.5,0.419173613628126,5518
ENST00000157600.8,0.193143408981169,8284
ENST00000157812.7,0.790193842645382,1754
ENST00000158762.8,0.0977698128235763,2511
ENST00000158771.9,0.260859131269498,4167
ENST00000159087.7,0.375538535184299,4178
ENST00000159111.9,0.310849393290507,5604
ENST00000160262.10,0.364841498559078,1735
ENST00000160298.9,0.982354363065023,4137
ENST00000160373.8,0.545138888888889,5904
ENST00000160740.7,0.915316642120766,6111
ENST00000160827.9,0.988226814031716,2081
ENST00000161863.9,0.755035685963521,6305
ENST00000162044.14,0.776099511328299,2251
ENST00000162330.10,0.780660954712362,4085
ENST00000162391.8,0.754706734250543,5524
ENST00000162749.7,0.958083832335329,2171
ENST00000163416.7,0.93192080583536,2879
ENST00000163678.11,0.96953642384106,1510
ENST00000164024.5,0.100980474314925,11933
ENST00000164133.7,0.980945401245878,2729
ENST00000164227.10,0.961640916355887,1877
ENST00000164305.10,0.975130890052356,1910
ENST00000164640.8,0.595689888858769,3689
ENST00000165698.9,0.978221415607985,3857
ENST00000166139.9,0.660335865653738,2501
ENST00000166244.8,0.189280733213788,5019
ENST00000166345.8,0.890580008227067,2431
ENST00000166534.8,0.958744394618834,2230
ENST00000167106.9,0.704527833772678,6449
ENST00000167218.9,0.525939177101968,1118
ENST00000167462.9,0.985344827586207,3480
ENST00000168216.11,0.964360587002096,954
ENST00000168869.12,0.992397137745975,2236
ENST00000169298.8,0.985447437011295,4604
ENST00000169551.11,0.425745784695201,3084
ENST00000170168.9,0.896615317856368,4609
ENST00000170447.12,0.949189189189189,2775
ENST00000170564.7,0.949232215606393,3191
ENST00000170630.6,0.778254437869823,3380
ENST00000171111.10,0.968615984405458,2565
ENST00000172229.8,0.977699530516432,3408
ENST00000173229.7,0.423655195456064,5986
ENST00000173527.6,0.974768280123584,1942
ENST00000174618.5,0.366192893401015,4925
ENST00000175091.5,0.961172161172161,1365
ENST00000175506.8,0.671901528013582,2356
ENST00000175756.10,0.637444690265487,3616
ENST00000176643.11,0.884147988117742,3703
ENST00000176763.10,0.656822810590631,5892
ENST00000177742.7,0.964903846153846,1040
ENST00000178638.8,0.6429977041653,6098
ENST00000178640.10,0.981655290102389,2344
ENST00000179259.6,0.15531733463272,8209
ENST00000181796.7,0.795670538542767,3788
ENST00000181839.10,0.341679790026247,9525
ENST00000182527.4,0.500780473960551,7047
ENST00000184266.3,0.662058371735791,651
ENST00000184956.11,0.635641781270465,6108
ENST00000185150.9,0.958094848732625,2446
ENST00000186436.10,0.661468437546635,6701
ENST00000187762.7,0.966932725199544,2631
ENST00000187830.2,0.685823754789272,3132
ENST00000188312.7,0.907311456534254,1737
ENST00000188376.9,0.772655840754322,1909
ENST00000189444.11,0.937084993359894,3012
ENST00000190611.9,0.33557078482914,10652
ENST00000190983.5,0.982799061767005,1279
ENST00000191018.9,0.959957850368809,1898
ENST00000191063.8,0.943841735800893,1567
ENST00000192788.6,0.461848019232779,9567
ENST00000193322.8,0.674122120331022,4471
ENST00000193403.10,0.913733792008468,3779
ENST00000194118.8,0.983431684067181,2203
ENST00000194155.7,0.481168989973099,4089
ENST00000194214.10,0.843795620437956,685
ENST00000194530.8,0.932943294329433,2222
ENST00000194672.11,0.14524817237399,5198
ENST00000194900.8,0.296056937172775,6112
ENST00000196061.5,0.981014784946237,2976
ENST00000196169.7,0.476647896654521,3019
ENST00000196371.10,0.966302367941712,3294
ENST00000196482.4,0.549564701226751,5054
ENST00000196489.4,0.970137524557957,2545
ENST00000196551.8,0.96221322537112,741
ENST00000197268.13,0.347909148800679,4711
ENST00000198767.11,0.964651915812196,3706
ENST00000198939.6,0.613369245837414,4084
ENST00000199320.9,0.507241257506182,2831
ENST00000199389.11,0.625708456132396,4411
ENST00000199448.9,0.873956262425447,2515
ENST00000199706.13,0.702755905511811,1524
ENST00000199814.9,0.97477163984341,2299
ENST00000200135.8,0.983466759484859,2873
ENST00000200181.8,0.156377204884668,5896
ENST00000200453.6,0.981276595744681,2350
ENST00000200457.9,0.953927938570585,1693
ENST00000200557.11,0.720416124837451,4614
ENST00000200639.9,0.243458301453711,6535
ENST00000200652.4,0.983437779767234,2234
ENST00000201015.8,0.754273504273504,1872
ENST00000201031.3,0.919636617749825,2862
ENST00000201586.7,0.513795986622074,1196
ENST00000201647.11,0.597119501751654,2569
ENST00000202017.6,0.65482881962187,1957
ENST00000202028.9,0.471826977803073,3514
ENST00000202556.14,0.684363636363636,5500
ENST00000202677.12,0.451126244106862,9545
ENST00000202773.14,0.960912052117264,921
ENST00000202816.5,0.481032338308458,3216
ENST00000202831.7,0.701176470588235,2975
ENST00000202834.11,0.9375,1472
ENST00000202967.4,0.933442892358258,1217
ENST00000203001.7,0.756230795493342,2929
ENST00000203166.10,0.581174838112858,4324
ENST00000203407.6,0.973040752351097,1595
ENST00000203556.9,0.560090702947846,3528
ENST00000203630.10,0.962057877813505,1555
ENST00000204005.13,0.627980922098569,5032
ENST00000204517.11,0.891354600092464,2163
ENST00000204549.9,0.750797024442083,2823
ENST00000204566.7,0.96053362979433,1799
ENST00000204604.6,0.910028248587571,3540
ENST00000204679.9,0.580759493670886,1975
ENST00000204726.9,0.173562486738808,9426
ENST00000204961.5,0.802603693611868,3303
ENST00000205061.9,0.444982447645563,8261
ENST00000205135.8,0.372772630078403,4209
ENST00000205143.4,0.361706689536878,2332
ENST00000205194.5,0.845185185185185,1350
ENST00000205214.11,0.972074839430327,3581
ENST00000205402.10,0.634860050890585,3537
ENST00000205557.12,0.221108949416342,5140
ENST00000205636.4,0.961596613244633,3307
ENST00000206020.8,0.963681592039801,1005
ENST00000206262.2,0.206505295007564,7932
ENST00000206380.8,0.958032786885246,1525
ENST00000206423.8,0.30883667994472,12301
